record_id,redcap_repeat_instrument,redcap_repeat_instance,redcap_survey_identifier,wear_log_timestamp,wearlog_type,wearlog_event,reason,wearlog_off,wearlog_on,wearlog_bed,radius,wearlog_bag,wearlog_place,wearlog_motion,wearlog_past,wearlog_bp,wearlog_past_off,wearlog_past_on,wearlog_past_sleep,radius_past_time,radius_past,radius_past_back,wearlog_past_bag,wearlog_past_location,wearlog_past_motion,uuid,startdate,enddate,scheduledate,status,supplementaldata,serializedresult,wear_log_complete
RISE_S012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RISE_S012,wear_log,1,,,0,1,,,"2025-06-09 19:59",,,,,,,,,,,,,,,,,6857F260-455B-11F0-A404-576AD76E4696,"2025-06-09 19:58:54","2025-06-09 19:59:32",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.5"",    ""syncdate"": ""2025-06-09 19:59:32"",    ""utcTime"": ""2025-06-09 17:58:54.341945Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CEST"",    ""appversion"": ""2.3.3"",    ""buildnumber"": ""173"",    ""configversion"": ""5"",    ""devicemodel"": ""iPhone12,1"",    ""percentComplete"": ""15""  }",result.zip,0
RISE_S012,wear_log,2,,,0,0,4,"2025-06-09 21:49",,,,1,,0,,,,,,,,,,,,B7BDBB00-456A-11F0-BA47-2DA055EA7588,"2025-06-09 21:48:30","2025-06-09 21:49:43",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.5"",    ""syncdate"": ""2025-06-09 21:49:43"",    ""utcTime"": ""2025-06-09 19:48:29.999380Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CEST"",    ""appversion"": ""2.3.3"",    ""buildnumber"": ""173"",    ""configversion"": ""5"",    ""devicemodel"": ""iPhone12,1"",    ""percentComplete"": ""29""  }",result.zip,0
RISE_S012,wear_log,3,,,0,0,2,"2025-06-10 10:26",,,,0,"på ögonen",0,,,,,,,,,,,,7CC7D660-45D4-11F0-A1EE-4B776F2C6DB3,"2025-06-10 10:25:37","2025-06-10 10:26:51",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.5"",    ""syncdate"": ""2025-06-10 10:26:51"",    ""utcTime"": ""2025-06-10 08:25:37.734480Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CEST"",    ""appversion"": ""2.3.3"",    ""buildnumber"": ""173"",    ""configversion"": ""5"",    ""devicemodel"": ""iPhone12,1"",    ""percentComplete"": ""34""  }",result.zip,0
RISE_S012,wear_log,4,,,0,0,4,"2025-06-10 21:41",,,,1,,0,,,,,,,,,,,,D0D6E9E0-4632-11F0-BB1A-CF782220359F,"2025-06-10 21:40:51","2025-06-10 21:42:18",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.5"",    ""syncdate"": ""2025-06-10 21:42:19"",    ""utcTime"": ""2025-06-10 19:40:51.454728Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CEST"",    ""appversion"": ""2.3.3"",    ""buildnumber"": ""173"",    ""configversion"": ""5"",    ""devicemodel"": ""iPhone12,1"",    ""percentComplete"": ""29""  }",result.zip,0
RISE_S012,wear_log,5,,,0,2,,,,"2025-06-11 21:45",,,,,,,,,,,,,,,,99B256F0-46FC-11F0-B1B7-D7F82C2D66EC,"2025-06-11 21:45:17","2025-06-11 21:45:42",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.5"",    ""syncdate"": ""2025-06-11 21:45:43"",    ""utcTime"": ""2025-06-11 19:45:17.279335Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CEST"",    ""appversion"": ""2.3.3"",    ""buildnumber"": ""173"",    ""configversion"": ""5"",    ""devicemodel"": ""iPhone12,1"",    ""percentComplete"": ""15""  }",result.zip,0
RISE_S012,wear_log,6,,,0,2,,,,"2025-06-11 21:46",,,,,,,,,,,,,,,,AE51E170-46FC-11F0-B1B7-D7F82C2D66EC,"2025-06-11 21:45:51","2025-06-11 21:46:18",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.5"",    ""syncdate"": ""2025-06-11 21:46:18"",    ""utcTime"": ""2025-06-11 19:45:51.879418Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CEST"",    ""appversion"": ""2.3.3"",    ""buildnumber"": ""173"",    ""configversion"": ""5"",    ""devicemodel"": ""iPhone12,1"",    ""percentComplete"": ""15""  }",result.zip,0
RISE_S012,wear_log,7,,,0,2,,,,"2025-06-12 21:50",,,,,,,,,,,,,,,,782574B0-47C7-11F0-87D7-7FC2AACB2204,"2025-06-12 21:57:28","2025-06-12 21:58:22",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.5"",    ""syncdate"": ""2025-06-12 21:58:23"",    ""utcTime"": ""2025-06-12 19:57:28.827475Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CEST"",    ""appversion"": ""2.3.3"",    ""buildnumber"": ""173"",    ""configversion"": ""5"",    ""devicemodel"": ""iPhone12,1"",    ""percentComplete"": ""15""  }",result.zip,0
RISE_S012,wear_log,8,,,0,2,,,,"2025-06-13 21:45",,,,,,,,,,,,,,,,93811220-4892-11F0-9F78-4B535CDF74B4,"2025-06-13 22:11:22","2025-06-13 22:11:57",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.5"",    ""syncdate"": ""2025-06-13 22:11:57"",    ""utcTime"": ""2025-06-13 20:11:22.562657Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CEST"",    ""appversion"": ""2.3.3"",    ""buildnumber"": ""173"",    ""configversion"": ""5"",    ""devicemodel"": ""iPhone12,1"",    ""percentComplete"": ""15""  }",result.zip,0
RISE_S012,wear_log,9,,,0,2,,,,"2025-06-13 21:45",,,,,,,,,,,,,,,,AD3126B0-4892-11F0-9F78-4B535CDF74B4,"2025-06-13 22:12:05","2025-06-13 22:12:44",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.5"",    ""syncdate"": ""2025-06-13 22:12:45"",    ""utcTime"": ""2025-06-13 20:12:05.659581Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CEST"",    ""appversion"": ""2.3.3"",    ""buildnumber"": ""173"",    ""configversion"": ""5"",    ""devicemodel"": ""iPhone12,1"",    ""percentComplete"": ""15""  }",result.zip,0
