record_id,redcap_repeat_instrument,redcap_repeat_instance,redcap_survey_identifier,experience_log_timestamp,exp_time,current,past,type,location,loc_spec,descr,feedback,identity___1,identity___2,identity___3,identity___4,identity___5,identity_spec,social_type___1,social_type___2,social_type___3,social_type___4,removal,future_use,uuid_2,startdate_2,enddate_2,scheduledate_2,status_2,supplementaldata_2,serializedresult_2,experience_log_complete
RISE_S004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RISE_S004,experience_log,1,,,1,"2025-03-25 17:39",,1,3,,"granne som frågade om vad jag hade på mig, tyckte det var intressant och ställde följdfrågor",1,1,0,0,0,0,,0,1,1,0,0,"bekommer mig inte speciellt mycket. kul att folk är nyfikna. ",C1685FC0-0997-11F0-80A8-51BCCDF7676D,"2025-03-25 17:39:43","2025-03-25 17:41:12",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.3.2"",    ""syncdate"": ""2025-03-25 17:41:13"",    ""utcTime"": ""2025-03-25 16:39:43.804161Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CET"",    ""appversion"": ""2.2.0"",    ""buildnumber"": ""155"",    ""configversion"": ""2"",    ""devicemodel"": ""iPhone15,4"",    ""percentComplete"": ""77""  }",result.zip,0
RISE_S004,experience_log,2,,,1,"2025-03-27 07:29",,1,3,,"i affär fick jag frågor om jag hade en sjukdom, om det var en go-pro jag hade på mig. när folk får reda på rätt anledning blir de nyfikna och ställer följdfrågor",1,0,0,0,1,0,,1,1,0,0,0,"inte alls, roligt när folk är nyfikna. ",C9870920-0AD4-11F0-A31F-8D9EA97F64DD,"2025-03-27 07:29:07","2025-03-27 07:31:14",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.3.2"",    ""syncdate"": ""2025-03-27 07:31:15"",    ""utcTime"": ""2025-03-27 06:29:07.890275Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CET"",    ""appversion"": ""2.2.0"",    ""buildnumber"": ""155"",    ""configversion"": ""2"",    ""devicemodel"": ""iPhone15,4"",    ""percentComplete"": ""77""  }",result.zip,0
